"CALLSIGN"	"FREQUENCY"	"SERVICE"	"CLASS"	"STATUS"	"CITY"	"STATE"	"COUNTRY"	"FILENUM"	"FACID"	"LAT"	"LON"	"LICENSEE"	"LATDD"	"LONDD"	"deleted"
"990520MD"	"90.7  MHz"	"FM"	"A"	"LIC"	"HARDIN"	"TX"	"US"	"BLED   -20100201AGY"	93440	"30-9-23N"	"94-44-19.5W"	"BEST MEDIA, INC."	30.1564	94.7387	0
"D211EK"	"90.1  MHz"	"FX"	"D"	"LIC"	"LA JUNTA"	"CO"	"US"	"BLFT   -20040225ABN"	94115	"37-56-47N"	"103-32-37W"	"FAMILY LIFE BROADCASTING SYSTEM"	37.9464	103.5436	0
"DDWBRO"	"89.9  MHz"	"FM"	"A"	"LIC"	"MARENGO"	"IN"	"US"	"BLED   -20000301AAI"	76439	"38-21-49N"	"86-25-13W"	"CRAWFORD COUNTY COMMUNITY RADIO, INC."	38.3636	86.4203	0
"DK201FB"	"88.1  MHz"	"FX"	"D"	"LIC"	"TULARE"	"CA"	"US"	"BLFT   -20000911AEU"	90198	"36-13-32N"	"119-15-3W"	"PAULINO BERNAL EVANGELISM"	36.2256	119.2508	0
"DK202BN"	"88.3  MHz"	"FX"	"D"	"LIC"	"FAYETTEVILLE"	"AR"	"US"	"BLFT   -19930420TC"	14435	"36-1-4N"	"94-13-8W"	"CREATIVE EDUCATIONAL MEDIA CORP, INC"	36.0178	94.2189	0
"DK202CE"	"88.3  MHz"	"FX"	"D"	"LIC"	"PALESTINE"	"TX"	"US"	"BLFT   -19961212TH"	81424	"31-48-20N"	"95-36-35W"	"BIBLE BROADCASTING NETWORK, INC."	31.8056	95.6097	0
"DK203CP"	"88.5  MHz"	"FX"	"D"	"LIC"	"PENRYN"	"CA"	"US"	"BLFT   -19980225TB"	82467	"38-52-13N"	"121-6-39W"	"YOUR CHRISTIAN COMPANION NETWORK, INC."	38.8703	121.1108	0
"DK208EI"	"89.5  MHz"	"FX"	"D"	"LIC"	"PORTERVILLE"	"CA"	"US"	"BLFT   -20040604ACQ"	94120	"36-5-38N"	"119-3-47W"	"PAULINO BERNAL EVANGELISM"	36.0939	119.0631	0
"DK209CW"	"89.7  MHz"	"FX"	"D"	"LIC"	"BUTTONWILLOW"	"CA"	"US"	"BLFT   -19990511UF"	89663	"35-24-10N"	"119-23-36W"	"PAULINO BERNAL EVANGELISM"	35.4028	119.3933	0
"DK210AU"	"89.9  MHz"	"FX"	"D"	"LIC"	"KIRKSVILLE"	"MO"	"US"	"BLFT   -19870731TB"	49410	"40-10-30N"	"92-33-19W"	"TRUMAN STATE UNIVERSITY"	40.175	92.5553	0
"DK210BA"	"89.9  MHz"	"FX"	"D"	"LIC"	"PURGATORY, ETC."	"CO"	"US"	"BLFT   -19910605TC"	35819	"37-21-53N"	"107-46-56W"	"KUTE, INC."	37.3647	107.7822	0
"DK210BP"	"89.9  MHz"	"FX"	"D"	"LIC"	"NORWOOD"	"CO"	"US"	"BLFT   -19960429TE"	49230	"38-18-50N"	"108-12-9W"	"NORTH FORK VALLEY PUBLIC RADIO, INC."	38.3139	108.2025	0
"DK210CS"	"91.9  MHz"	"FX"	"D"	"LIC"	"JASPER"	"TX"	"US"	"BLFT   -19920821TB"	35858	"31-0-0N"	"93-58-56W"	"KVLU - LAMAR UNIVERSITY"	31	93.9822	0
"DK210ML"	"89.9  MHz"	"FX"	"D"	"LIC"	"ALTUS"	"OK"	"US"	"BLFT   -19920914TA"	8485	"34-40-14N"	"99-20-13W"	"CAMERON UNIVERSITY"	34.6706	99.3369	0
"DK211BF"	"90.1  MHz"	"FX"	"D"	"LIC"	"BURNS, ETC."	"OR"	"US"	"BLFT   -19871204TC"	50606	"43-47-43N"	"118-57-30W"	"OREGON PUBLIC BROADCASTING"	43.7953	118.9583	0
"DK211BM"	"90.1  MHz"	"FX"	"D"	"LIC"	"TILLAMOOK"	"OR"	"US"	"BLFT   -19910122TJ"	67112	"45-29-20N"	"123-52-5W"	"TILLICUM FOUNDATION"	45.4889	123.8681	0
"DK211CY"	"90.1  MHz"	"FX"	"D"	"LIC"	"SPEARFISH"	"SD"	"US"	"BLFT   -19970711TC"	81222	"44-29-34N"	"103-50-6W"	"AMERICAN FAMILY ASSOCIATION"	44.4928	103.835	0
"DK213BQ"	"90.5  MHz"	"FX"	"D"	"LIC"	"NASH"	"ND"	"US"	"BLFT   -19941017TA"	43692	"48-29-40N"	"97-30-5W"	"THE MOODY BIBLE INSTITUTE OF CHICAGO"	48.4944	97.5014	0
"DK213EB"	"90.5  MHz"	"FX"	"D"	"LIC"	"GREENVILLE"	"TX"	"US"	"BLFT   -20041122AHW"	93413	"33-7-44N"	"95-55-29W"	"IGLESIA JESU CHRISTO ES MI REFUGIO"	33.1289	95.9247	0
"DK216DH"	"91.1  MHz"	"FX"	"D"	"LIC"	"CATHLAMET"	"WA"	"US"	"BLFT   -19980617TU"	67108	"46-5-12N"	"123-27-3W"	"TILLICUM FOUNDATION"	46.0867	123.4508	0
"DK216DJ"	"91.1  MHz"	"FX"	"D"	"LIC"	"INDIAN SPRINGS"	"NV"	"US"	"BLFT   -199809296C"	78633	"36-19-15N"	"115-34-14W"	"CALVARY CHAPEL OF TWIN FALLS, INC."	36.3208	115.5706	0
"DK220FQ"	"91.9  MHz"	"FX"	"D"	"LIC"	"MANY"	"LA"	"US"	"BLFT   -19960829TB"	76812	"31-32-5N"	"93-25-21W"	"AMERICAN FAMILY ASSOCIATION"	31.5347	93.4225	0
